NOMBRE;CIUDAD;LIGA;ANYOFUNDACION;TITULOS;ESTADIO;NOMBREFICHERO
FC Barcelona;Barcelona;LaLiga;1899;27;Spotify Camp Nou;barcelona
Real Madrid;Madrid;LaLiga;1902;36;Santiago Bernabéu;realmadrid
Atlético de Madrid;Madrid;LaLiga;1903;11;Cívitas Metropolitano;atlmadrid
Sevilla FC;Sevilla;LaLiga;1890;1;Ramón Sánchez-Pizjuán;sevilla
Real Sociedad;San Sebastián;LaLiga;1909;2;Reale Arena;realsociedad
Real Betis;Sevilla;LaLiga;1907;0;Benito Villamarín;betis
Villarreal CF;Villarreal;LaLiga;1923;0;Estadio de la Cerámica;villarreal
Athletic Club;Bilbao;LaLiga;1898;8;San Mamés;athletic
Valencia CF;Valencia;LaLiga;1919;6;Mestalla;valencia
Getafe CF;Getafe;LaLiga;1983;0;Coliseum Alfonso Pérez;getafe
RCD Espanyol;Barcelona;LaLiga;1900;4;RCDE Stadium;espanyol
Rayo Vallecano;Madrid;LaLiga;1924;0;Campo de Vallecas;rayovallecano
RCD Mallorca;Palma;LaLiga;1916;1;Son Moix;mallorca
CA Osasuna;Pamplona;LaLiga;1920;0;El Sadar;osasuna
Celta de Vigo;Vigo;LaLiga;1923;0;Balaídos;celta
Girona FC;Girona;LaLiga;1930;0;Montilivi;girona
Elche CF;Elche;LaLiga;1922;0;Martinez Valero;elche
Deportivo Alavés;Vitoria;LaLiga;1921;0;Mendizorroza;alaves
Real Oviedo;Oviedo;LaLiga;1926;0;Carlos Tartiere;realoviedo
Levante UD;Valencia;LaLiga;1909;0;Ciutat de Valencia;levante
Manchester United;Manchester;Premier;1878;20;Old Trafford;manchesterunited
Manchester City;Manchester;Premier;1880;10;Etihad Stadium;manchestercity
Liverpool FC;Liverpool;Premier;1892;19;Anfield;liverpool
Chelsea FC;Londres;Premier;1905;6;Stamford Bridge;chelsea
Arsenal FC;Londres;Premier;1886;13;Emirates Stadium;arsenal
Tottenham Hotspur;Londres;Premier;1882;2;Tottenham Hotspur Stadium;tottenham
Newcastle United;Newcastle;Premier;1892;4;St James' Park;newcastle
Aston Villa;Birmingham;Premier;1874;7;Villa Park;astonvilla
Brighton & Hove Albion;Brighton;Premier;1901;0;Amex Stadium;brighton
West Ham United;Londres;Premier;1895;3;London Stadium;westham
Sunderland AFC;Sunderland;Premier;1879;6;Stadium of Light;sunderland
Everton FC;Liverpool;Premier;1878;9;Goodison Park;everton
Wolverhampton Wanderers;Wolverhampton;Premier;1877;3;Molineux Stadium;wolves
Fulham FC;Londres;Premier;1879;0;Craven Cottage;fulham
Brentford FC;Brentford;Premier;1889;0;Gtech Community Stadium;brentford
Crystal Palace;Londres;Premier;1905;0;Selhurst Park;crystalpalace
AFC Bournemouth;Bournemouth;Premier;1899;0;Vitality Stadium;bournemouth
Nottingham Forest;Nottingham;Premier;1865;2;City Ground;nottingham_forest
Burnley FC;Burnley;Premier;1882;2;Turf Moor;burnley
Leeds United FC;Leeds;Premier;1919;3;Elland Road;leeds
Bayern Munich;Múnich;Bundesliga;1900;34;Allianz Arena;bayernmunchen
Borussia Dortmund;Dortmund;Bundesliga;1909;5;Signal Iduna Park;borussiadortmund
RB Leipzig;Leipzig;Bundesliga;2009;0;Red Bull Arena;rbleipzig
Bayer Leverkusen;Leverkusen;Bundesliga;1904;1;BayArena;bayerleverkusen
Borussia Mönchengladbach;Mönchengladbach;Bundesliga;1900;5;Borussia-Park;bmonchengladbach
Eintracht Frankfurt;Frankfurt;Bundesliga;1899;1;Deutsche Bank Park;eintrachtfrankfurt
VfL Wolfsburg;Wolfsburg;Bundesliga;1945;1;Volkswagen Arena;wolfsburg
Union Berlin;Berlín;Bundesliga;1966;0;Stadion An der Alten Försterei;unionberlin
SC Freiburg;Friburgo;Bundesliga;1904;0;Europa-Park Stadion;freiburg
VfB Stuttgart;Stuttgart;Bundesliga;1893;5;Mercedes-Benz Arena;stuttgart
TSG Hoffenheim;Sinsheim;Bundesliga;1899;0;PreZero Arena;hoffenheim
FSV Mainz 05;Maguncia;Bundesliga;1905;0;Mewa Arena;mainz05
FC Augsburg;Augsburgo;Bundesliga;1907;0;WWK Arena;augsburgo
Werder Bremen;Bremen;Bundesliga;1899;4;Weserstadion;werderbremen
FC Koln;Colonia;Bundesliga;1948;3;RheinEnergieStadion;koln
FC St. Pauli;Hamburgo;Bundesliga;1910;0;Millerntor-Stadion;st_pauli
1. FC Heidenheim;Heidenheim;Bundesliga;1846;0;Voith-Arena;heidenheim
Hamburgo SV;Hamburgo;Bundesliga;1887;6;Volksparkstadion;hamburgo
