NOMBRE;NUMEROCAMISETA;POSICION;NACIONALIDAD;EDAD;NOMBREEQUIPO;PIERNAHABIL;ALTURA;GOLES;PARTIDOSJUGADOS;ASISTENCIAS;REGATES;PORTERIASACERO;PARADAS;GOLESENCAJADOS;VALORDEMERCADO
Marc-André ter Stegen;1;PORTERO;Alemania;32;FC Barcelona;DERECHA;187;0;38;0;0;18;105;28;35.0
Ronald Araujo;4;DEFENSA;Uruguay;25;FC Barcelona;DERECHA;188;1;30;1;15;0;0;0;70.0
Pedri;8;CENTROCAMPISTA;España;22;FC Barcelona;DERECHA;174;4;29;6;45;0;0;0;80.0
Robert Lewandowski;9;DELANTERO;Polonia;36;FC Barcelona;DERECHA;185;25;36;8;12;0;0;0;45.0
Jules Koundé;23;DEFENSA;Francia;26;FC Barcelona;DERECHA;180;2;34;4;20;0;0;0;60.0
Iñaki Peña;13;PORTERO;España;25;FC Barcelona;DERECHA;184;0;8;0;0;2;25;10;8.0
Héctor Fort;39;DEFENSA;España;18;FC Barcelona;DERECHA;180;0;5;1;5;0;0;0;10.0
Fermín López;32;CENTROCAMPISTA;España;21;FC Barcelona;IZQUIERDA;176;3;19;2;18;0;0;0;25.0
Ferran Torres;7;DELANTERO;España;24;FC Barcelona;DERECHA;184;10;32;5;25;0;0;0;35.0
João Félix;14;DELANTERO;Portugal;25;FC Barcelona;DERECHA;181;8;30;3;40;0;0;0;40.0
Gavi;6;CENTROCAMPISTA;España;20;FC Barcelona;DERECHA;173;2;28;4;35;0;0;0;75.0
Andreas Christensen;15;DEFENSA;Dinamarca;28;FC Barcelona;DERECHA;187;0;25;0;5;0;0;0;40.0
Frenkie de Jong;21;CENTROCAMPISTA;Países Bajos;27;FC Barcelona;DERECHA;181;2;28;3;30;0;0;0;70.0
Raphinha;11;DELANTERO;Brasil;28;FC Barcelona;IZQUIERDA;176;7;31;9;55;0;0;0;50.0
Alejandro Balde;3;DEFENSA;España;21;FC Barcelona;IZQUIERDA;175;1;28;4;40;0;0;0;50.0
Vitor Roque;19;DELANTERO;Brasil;19;FC Barcelona;DERECHA;172;2;10;0;5;0;0;0;30.0
Oriol Romeu;18;CENTROCAMPISTA;España;33;FC Barcelona;DERECHA;183;1;20;0;5;0;0;0;5.0
Sergi Roberto;20;DEFENSA;España;32;FC Barcelona;DERECHA;178;1;15;2;10;0;0;0;4.0
Lamine Yamal;27;DELANTERO;España;17;FC Barcelona;IZQUIERDA;181;5;35;8;75;0;0;0;90.0
Marcos Alonso;17;DEFENSA;España;33;FC Barcelona;IZQUIERDA;188;0;12;1;3;0;0;0;3.0
Thibaut Courtois;1;PORTERO;Bélgica;32;Real Madrid;IZQUIERDA;200;0;25;0;0;10;85;18;40.0
Dani Carvajal;2;DEFENSA;España;32;Real Madrid;DERECHA;173;1;35;5;20;0;0;0;12.0
Jude Bellingham;5;CENTROCAMPISTA;Inglaterra;21;Real Madrid;DERECHA;186;18;39;10;60;0;0;0;180.0
Vinícius Júnior;7;DELANTERO;Brasil;24;Real Madrid;DERECHA;176;22;41;15;110;0;0;0;150.0
