//IAG
Jornada,Fecha,Local,Visitante,GolesLocal,GolesVisitante
1,2025-11-01,Alavés,Elche,0,3
1,2025-11-01,Athletic,UD Levante,2,0
1,2025-11-01,Atlético de Madrid,Real Oviedo,2,3
1,2025-11-01,Barcelona,Villarreal,0,2
1,2025-11-01,Betis,Valencia,2,2
1,2025-11-01,Celta,Sevilla,3,2
1,2025-11-01,Espanyol,Real Sociedad,1,2
1,2025-11-01,Getafe,Real Madrid,1,0
1,2025-11-01,Girona,Rayo Vallecano,1,2
1,2025-11-01,Mallorca,Osasuna,3,0
2,2025-11-08,Alavés,UD Levante,1,2
2,2025-11-08,Elche,Real Oviedo,2,0
2,2025-11-08,Athletic,Villarreal,0,2
2,2025-11-08,Atlético de Madrid,Valencia,3,2
2,2025-11-08,Barcelona,Sevilla,0,3
2,2025-11-08,Betis,Real Sociedad,3,2
2,2025-11-08,Celta,Real Madrid,0,1
2,2025-11-08,Espanyol,Rayo Vallecano,0,3
2,2025-11-08,Getafe,Osasuna,3,0
2,2025-11-08,Girona,Mallorca,2,3
3,2025-11-15,Alavés,Real Oviedo,3,0
3,2025-11-15,UD Levante,Villarreal,2,0
3,2025-11-15,Elche,Valencia,3,3
3,2025-11-15,Athletic,Sevilla,0,2
3,2025-11-15,Atlético de Madrid,Real Sociedad,1,2
3,2025-11-15,Barcelona,Real Madrid,1,2
3,2025-11-15,Betis,Rayo Vallecano,0,1
3,2025-11-15,Celta,Osasuna,0,0
3,2025-11-15,Espanyol,Mallorca,3,3
3,2025-11-15,Getafe,Girona,0,0
4,2025-11-22,Alavés,Villarreal,0,3
4,2025-11-22,Real Oviedo,Valencia,0,0
4,2025-11-22,UD Levante,Sevilla,3,1
4,2025-11-22,Elche,Real Sociedad,3,0
4,2025-11-22,Athletic,Real Madrid,2,1
4,2025-11-22,Atlético de Madrid,Rayo Vallecano,2,0
4,2025-11-22,Barcelona,Osasuna,0,3
4,2025-11-22,Betis,Mallorca,2,2
4,2025-11-22,Celta,Girona,0,1
4,2025-11-22,Espanyol,Getafe,3,2
5,2025-11-29,Alavés,Valencia,0,1
5,2025-11-29,Villarreal,Sevilla,3,1
5,2025-11-29,Real Oviedo,Real Sociedad,1,2
5,2025-11-29,UD Levante,Real Madrid,0,1
5,2025-11-29,Elche,Rayo Vallecano,1,2
5,2025-11-29,Athletic,Osasuna,2,1
5,2025-11-29,Atlético de Madrid,Mallorca,2,3
5,2025-11-29,Barcelona,Girona,1,0
5,2025-11-29,Betis,Getafe,2,3
5,2025-11-29,Celta,Espanyol,0,0
6,2025-12-06,Alavés,Sevilla,3,2
6,2025-12-06,Valencia,Real Sociedad,0,1
6,2025-12-06,Villarreal,Real Madrid,0,3
6,2025-12-06,Real Oviedo,Rayo Vallecano,3,3
6,2025-12-06,UD Levante,Osasuna,2,0
6,2025-12-06,Elche,Mallorca,0,2
6,2025-12-06,Athletic,Girona,2,1
6,2025-12-06,Atlético de Madrid,Getafe,0,1
6,2025-12-06,Barcelona,Espanyol,3,0
6,2025-12-06,Betis,Celta,3,1
7,2025-12-13,Alavés,Real Sociedad,2,1
7,2025-12-13,Sevilla,Real Madrid,0,3
7,2025-12-13,Valencia,Rayo Vallecano,2,3
7,2025-12-13,Villarreal,Osasuna,3,2
7,2025-12-13,Real Oviedo,Mallorca,1,1
7,2025-12-13,UD Levante,Girona,3,0
7,2025-12-13,Elche,Getafe,0,0
7,2025-12-13,Athletic,Espanyol,3,0
7,2025-12-13,Atlético de Madrid,Celta,2,3
7,2025-12-13,Barcelona,Betis,2,2
8,2025-12-20,Alavés,Real Madrid,3,0
8,2025-12-20,Real Sociedad,Rayo Vallecano,2,1
8,2025-12-20,Sevilla,Osasuna,2,3
8,2025-12-20,Valencia,Mallorca,1,2
8,2025-12-20,Villarreal,Girona,3,1
8,2025-12-20,Real Oviedo,Getafe,1,0
8,2025-12-20,UD Levante,Espanyol,2,0
8,2025-12-20,Elche,Celta,0,0
8,2025-12-20,Athletic,Betis,0,3
8,2025-12-20,Atlético de Madrid,Barcelona,0,2
9,2025-12-27,Alavés,Rayo Vallecano,0,2
9,2025-12-27,Real Madrid,Osasuna,0,1
9,2025-12-27,Real Sociedad,Mallorca,2,2
9,2025-12-27,Sevilla,Girona,0,2
9,2025-12-27,Valencia,Getafe,1,2
9,2025-12-27,Villarreal,Espanyol,0,0
9,2025-12-27,Real Oviedo,Celta,3,3
9,2025-12-27,UD Levante,Betis,0,3
9,2025-12-27,Elche,Barcelona,0,1
9,2025-12-27,Athletic,Atlético de Madrid,1,1
10,2026-01-03,Alavés,Osasuna,3,1
10,2026-01-03,Rayo Vallecano,Mallorca,3,1
10,2026-01-03,Real Madrid,Girona,0,1
10,2026-01-03,Real Sociedad,Getafe,2,2
10,2026-01-03,Sevilla,Espanyol,2,3
10,2026-01-03,Valencia,Celta,2,0
10,2026-01-03,Villarreal,Betis,1,3
10,2026-01-03,Real Oviedo,Barcelona,1,2
10,2026-01-03,UD Levante,Atlético de Madrid,2,1
10,2026-01-03,Elche,Athletic,1,3
11,2026-01-10,Alavés,Mallorca,1,3
11,2026-01-10,Osasuna,Girona,0,1
11,2026-01-10,Rayo Vallecano,Getafe,2,2
11,2026-01-10,Real Madrid,Espanyol,3,2
11,2026-01-10,Real Sociedad,Celta,2,2
11,2026-01-10,Sevilla,Betis,0,2
11,2026-01-10,Valencia,Barcelona,3,2
11,2026-01-10,Villarreal,Atlético de Madrid,3,1
11,2026-01-10,Real Oviedo,Athletic,2,3
11,2026-01-10,UD Levante,Elche,1,2
12,2026-01-17,Alavés,Girona,2,3
12,2026-01-17,Mallorca,Getafe,1,0
12,2026-01-17,Osasuna,Espanyol,2,0
12,2026-01-17,Rayo Vallecano,Celta,1,1
12,2026-01-17,Real Madrid,Betis,3,0
12,2026-01-17,Real Sociedad,Barcelona,3,0
12,2026-01-17,Sevilla,Atlético de Madrid,2,1
12,2026-01-17,Valencia,Athletic,0,1
12,2026-01-17,Villarreal,Elche,3,2
12,2026-01-17,Real Oviedo,UD Levante,1,1
13,2026-01-24,Alavés,Getafe,2,2
13,2026-01-24,Girona,Espanyol,3,1
13,2026-01-24,Mallorca,Celta,1,0
13,2026-01-24,Osasuna,Betis,1,0
13,2026-01-24,Rayo Vallecano,Barcelona,3,3
13,2026-01-24,Real Madrid,Atlético de Madrid,1,0
13,2026-01-24,Real Sociedad,Athletic,2,4
13,2026-01-24,Sevilla,Elche,0,1
13,2026-01-24,Valencia,UD Levante,2,3
13,2026-01-24,Villarreal,Real Oviedo,3,1
14,2026-01-31,Alavés,Espanyol,3,2
14,2026-01-31,Getafe,Celta,2,1
14,2026-01-31,Girona,Betis,1,2
14,2026-01-31,Mallorca,Barcelona,1,4
14,2026-01-31,Osasuna,Atlético de Madrid,1,2
14,2026-01-31,Rayo Vallecano,Athletic,0,2
14,2026-01-31,Real Madrid,Elche,0,2
14,2026-01-31,Real Sociedad,UD Levante,0,0
14,2026-01-31,Sevilla,Real Oviedo,2,0
14,2026-01-31,Valencia,Villarreal,0,0
15,2026-02-07,Alavés,Celta,1,3
15,2026-02-07,Espanyol,Betis,0,0
15,2026-02-07,Getafe,Barcelona,0,0
15,2026-02-07,Girona,Atlético de Madrid,0,0
15,2026-02-07,Mallorca,Athletic,1,3
15,2026-02-07,Osasuna,Elche,3,0
15,2026-02-07,Rayo Vallecano,UD Levante,2,3
15,2026-02-07,Real Madrid,Real Oviedo,3,0
15,2026-02-07,Real Sociedad,Villarreal,1,3
15,2026-02-07,Sevilla,Valencia,1,3
16,2026-02-14,Alavés,Betis,0,1
16,2026-02-14,Celta,Barcelona,0,1
16,2026-02-14,Espanyol,Atlético de Madrid,0,2
16,2026-02-14,Getafe,Athletic,0,2
16,2026-02-14,Girona,Elche,3,3
16,2026-02-14,Mallorca,UD Levante,3,1
16,2026-02-14,Osasuna,Real Oviedo,2,1
16,2026-02-14,Rayo Vallecano,Villarreal,0,0
16,2026-02-14,Real Madrid,Valencia,2,1
16,2026-02-14,Real Sociedad,Sevilla,1,2
17,2026-02-21,Alavés,Barcelona,3,0
17,2026-02-21,Betis,Atlético de Madrid,1,2
17,2026-02-21,Celta,Athletic,2,2
17,2026-02-21,Espanyol,Elche,3,2
17,2026-02-21,Getafe,UD Levante,0,3
17,2026-02-21,Girona,Real Oviedo,2,2
17,2026-02-21,Mallorca,Villarreal,0,2
17,2026-02-21,Osasuna,Valencia,1,2
17,2026-02-21,Rayo Vallecano,Sevilla,3,3
17,2026-02-21,Real Madrid,Real Sociedad,0,2
18,2026-02-28,Alavés,Atlético de Madrid,1,0
18,2026-02-28,Barcelona,Athletic,1,2
18,2026-02-28,Betis,Elche,3,0
18,2026-02-28,Celta,UD Levante,1,3
18,2026-02-28,Espanyol,Real Oviedo,2,2
18,2026-02-28,Getafe,Villarreal,0,2
18,2026-02-28,Girona,Valencia,2,2
18,2026-02-28,Mallorca,Sevilla,0,2
18,2026-02-28,Osasuna,Real Sociedad,0,2
18,2026-02-28,Rayo Vallecano,Real Madrid,3,2
19,2026-03-07,Alavés,Athletic,1,3
19,2026-03-07,Atlético de Madrid,Elche,3,0
19,2026-03-07,Barcelona,UD Levante,2-1
19,2026-03-07,Betis,Real Oviedo,2,1
19,2026-03-07,Celta,Villarreal,3,1
19,2026-03-07,Espanyol,Valencia,2,1
19,2026-03-07,Getafe,Sevilla,3,0
19,2026-03-07,Girona,Real Sociedad,1,0
19,2026-03-07,Mallorca,Real Madrid,1-4
19,2026-03-07,Osasuna,Rayo Vallecano,1,1
20,2026-03-14,Elche,Alavés,2,2
20,2026-03-14,UD Levante,Athletic,0,3
20,2026-03-14,Real Oviedo,Atlético de Madrid,3,3
20,2026-03-14,Villarreal,Barcelona,1,2
20,2026-03-14,Valencia,Betis,1,0
20,2026-03-14,Sevilla,Celta,3,0
20,2026-03-14,Real Sociedad,Espanyol,1,2
20,2026-03-14,Real Madrid,Getafe,0,1
20,2026-03-14,Rayo Vallecano,Girona,0,0
20,2026-03-14,Osasuna,Mallorca,3,2
21,2026-03-21,UD Levante,Alavés,2,0
21,2026-03-21,Real Oviedo,Elche,3,2
21,2026-03-21,Villarreal,Athletic,0,1
21,2026-03-21,Valencia,Atlético de Madrid,0,2
21,2026-03-21,Sevilla,Barcelona,3,3
21,2026-03-21,Real Sociedad,Betis,0,1
21,2026-03-21,Real Madrid,Celta,1,1
21,2026-03-21,Rayo Vallecano,Espanyol,2,1
21,2026-03-21,Osasuna,Getafe,1,2
21,2026-03-21,Mallorca,Girona,3,2
22,2026-03-28,Real Oviedo,Alavés,0,1
22,2026-03-28,Villarreal,UD Levante,1,3
22,2026-03-28,Valencia,Elche,1,0
22,2026-03-28,Sevilla,Athletic,0,4
22,2026-03-28,Real Sociedad,Atlético de Madrid,0,3
22,2026-03-28,Real Madrid,Barcelona,3,1
22,2026-03-28,Rayo Vallecano,Betis,0,3
22,2026-03-28,Osasuna,Celta,3,1
22,2026-03-28,Mallorca,Espanyol,3,3
22,2026-03-28,Girona,Getafe,1,0
23,2026-04-04,Villarreal,Alavés,3,1
23,2026-04-04,Valencia,Real Oviedo,0,1
23,2026-04-04,Sevilla,UD Levante,1,1
23,2026-04-04,Real Sociedad,Elche,3,0
23,2026-04-04,Real Madrid,Athletic,0,2
23,2026-04-04,Rayo Vallecano,Atlético de Madrid,1,2
23,2026-04-04,Osasuna,Barcelona,2,1
23,2026-04-04,Mallorca,Betis,0,0
23,2026-04-04,Girona,Celta,0,0
23,2026-04-04,Getafe,Espanyol,2,2
24,2026-04-11,Valencia,Alavés,1,2
24,2026-04-11,Sevilla,Villarreal,0,3
24,2026-04-11,Real Sociedad,Real Oviedo,0,3
24,2026-04-11,Real Madrid,UD Levante,0,1
24,2026-04-11,Rayo Vallecano,Elche,0,2
24,2026-04-11,Osasuna,Athletic,1,4
24,2026-04-11,Mallorca,Atlético de Madrid,0,0
24,2026-04-11,Girona,Barcelona,3,1
24,2026-04-11,Getafe,Betis,3,3
24,2026-04-11,Espanyol,Celta,0,2
25,2026-04-18,Sevilla,Alavés,1,1
25,2026-04-18,Real Sociedad,Valencia,1,0
25,2026-04-18,Real Madrid,Villarreal,0,0
25,2026-04-18,Rayo Vallecano,Real Oviedo,3,2
25,2026-04-18,Osasuna,UD Levante,0,0
25,2026-04-18,Mallorca,Elche,0,0
25,2026-04-18,Girona,Athletic,1,1
25,2026-04-18,Getafe,Atlético de Madrid,3,2
25,2026-04-18,Espanyol,Barcelona,0,1
25,2026-04-18,Celta,Betis,3,0
26,2026-04-25,Real Sociedad,Alavés,1,2
26,2026-04-25,Real Madrid,Sevilla,1,3
26,2026-04-25,Rayo Vallecano,Valencia,2,1
26,2026-04-25,Osasuna,Villarreal,3,3
26,2026-04-25,Mallorca,Real Oviedo,1,3
26,2026-04-25,Girona,UD Levante,3,0
26,2026-04-25,Getafe,Elche,3,2
26,2026-04-25,Espanyol,Athletic,2,4
26,2026-04-25,Celta,Atlético de Madrid,3,1
26,2026-04-25,Betis,Barcelona,1,3
27,2026-05-02,Real Madrid,Alavés,3,2
27,2026-05-02,Rayo Vallecano,Real Sociedad,3,2
27,2026-05-02,Osasuna,Sevilla,1,2
27,2026-05-02,Mallorca,Valencia,0,2
27,2026-05-02,Girona,Villarreal,0,0
27,2026-05-02,Getafe,Real Oviedo,1,1
27,2026-05-02,Espanyol,UD Levante,3,1
27,2026-05-02,Celta,Elche,0,3
27,2026-05-02,Betis,Athletic,1,1
27,2026-05-02,Barcelona,Atlético de Madrid,2,1
28,2026-05-09,Rayo Vallecano,Alavés,0,3
28,2026-05-09,Osasuna,Real Madrid,2,3
28,2026-05-09,Mallorca,Real Sociedad,0,3
28,2026-05-09,Girona,Sevilla,1,3
28,2026-05-09,Getafe,Valencia,2,2
28,2026-05-09,Espanyol,Villarreal,2,0
28,2026-05-09,Celta,Real Oviedo,2,3
28,2026-05-09,Betis,UD Levante,3,1
28,2026-05-09,Barcelona,Elche,0,3
28,2026-05-09,Atlético de Madrid,Athletic,1,1
29,2026-05-16,Osasuna,Alavés,2,1
29,2026-05-16,Mallorca,Rayo Vallecano,0,0
29,2026-05-16,Girona,Real Madrid,0,1
29,2026-05-16,Getafe,Real Sociedad,0,0
29,2026-05-16,Espanyol,Sevilla,0,3
29,2026-05-16,Celta,Valencia,2,2
29,2026-05-16,Betis,Villarreal,2,3
29,2026-05-16,Barcelona,Real Oviedo,0,2
29,2026-05-16,Atlético de Madrid,UD Levante,0,2
29,2026-05-16,Athletic,Elche,2,2
30,2026-05-23,Mallorca,Alavés,3,1
30,2026-05-23,Girona,Osasuna,3,2
30,2026-05-23,Getafe,Rayo Vallecano,0,2
30,2026-05-23,Espanyol,Real Madrid,2,3
30,2026-05-23,Celta,Real Sociedad,1,0
30,2026-05-23,Betis,Sevilla,2,3
30,2026-05-23,Barcelona,Valencia,1,1
30,2026-05-23,Atlético de Madrid,Villarreal,1,1
30,2026-05-23,Athletic,Real Oviedo,2,2
30,2026-05-23,Elche,UD Levante,0,0
31,2026-05-30,Girona,Alavés,2,0
31,2026-05-30,Getafe,Mallorca,3,1
