cod_opcion,cod_pregunta,opcion,es_correcta
1_1,1,España,1
1_2,1,Alemania,0
1_3,1,Brasil,0
1_4,1,Italia,0
2_1,2,Estados Unidos,1
2_2,2,Catar,0
2_3,2,Brasil,0
2_4,2,Italia,0
3_1,3,Lionel Messi,1
3_2,3,Cristiano Ronaldo,0
3_3,3,Neymar,0
3_4,3,Mbappé,0
4_1,4,Cristiano Ronaldo,1
4_2,4,Benzema,0
4_3,4,Modric,0
4_4,4,Haaland,0
5_1,5,Fútbol,1
5_2,5,Baloncesto,0
5_3,5,Críquet,0
5_4,5,Tenis,0
6_1,6,Dos tiempos,1
6_2,6,Tres tiempos,0
6_3,6,Cuatro tiempos,0
6_4,6,Un tiempo,0
7_1,7,Once jugadores,1
7_2,7,Diez jugadores,0
7_3,7,Doce jugadores,0
7_4,7,Nueve jugadores,0
8_1,8,Brasil,1
8_2,8,Argentina,0
8_3,8,Ecuador,0
8_4,8,Colombia,0
9_1,9,Azul y grana,1
9_2,9,Rojo,0
9_3,9,Amarillo,0
9_4,9,Blanco,0
10_1,10,Blanco,1
10_2,10,Negro,0
10_3,10,Azul,0
10_4,10,Morado,0
11_1,11,Alemania,1
11_2,11,Argentina,0
11_3,11,Brasil,0
11_4,11,Francia,0
12_1,12,Uruguay,1
12_2,12,Argentina,0
12_3,12,Italia,0
12_4,12,Perú,0
13_1,13,Brasil,1
13_2,13,Alemania,0
13_3,13,Argentina,0
13_4,13,Francia,0
14_1,14,Francia,1
14_2,14,Brasil,0
14_3,14,Italia,0
14_4,14,Argentina,0
15_1,15,Manchester United,1
15_2,15,Liverpool,0
15_3,15,Chelsea,0
15_4,15,Arsenal,0
16_1,16,Chelsea,1
16_2,16,Arsenal,0
16_3,16,Manchester City,0
16_4,16,Everton,0
17_1,17,Argentina,1
17_2,17,Brasil,0
17_3,17,Uruguay,0
17_4,17,España,0
18_1,18,Portugal,1
18_2,18,España,0
18_3,18,Francia,0
18_4,18,Brasil,0
19_1,19,El Clásico (Barcelona vs Real Madrid),1
19_2,19,Derbi madrileño,0
19_3,19,Clásico vasco,0
19_4,19,Derbi de Manchester,0
20_1,20,Argentina,1
20_2,20,Uruguay,0
20_3,20,Colombia,0
20_4,20,Paraguay,0
21_1,21,45 minutos,1
21_2,21,40 minutos,0
21_3,21,50 minutos,0
21_4,21,60 minutos,0
22_1,22,Brasil,1
22_2,22,Argentina,0
22_3,22,Uruguay,0
22_4,22,Alemania,0
23_1,23,Lionel Messi,1
23_2,23,Lewandowski,0
23_3,23,Benzema,0
23_4,23,Mbappé,0
24_1,24,Camp Nou,1
24_2,24,Bernabéu,0
24_3,24,Metropolitano,0
24_4,24,Mestalla,0
25_1,25,Santiago Bernabéu,1
25_2,25,Camp Nou,0
25_3,25,Wanda,0
25_4,25,Riazor,0
26_1,26,Paraguay,1
26_2,26,Brasil,0
26_3,26,Argentina,0
26_4,26,Chile,0
27_1,27,Portugal,1
27_2,27,Francia,0
27_3,27,España,0
27_4,27,Italia,0
28_1,28,Argentina,1
28_2,28,Brasil,0
28_3,28,Chile,0
28_4,28,Uruguay,0
